YearsExperience,Education,JobRole,OrgSize,Location,CompTotal,CompFreq,Currency,LanguageHaveWorkedWith,Age,Gender
7,"Other doctoral degree (Ph.D., Ed.D., etc.)",Data scientist or machine learning specialist,100 to 499 employees,Viet Nam,88000000.0,Monthly,Vietnamese dong,,,
3,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end",20 to 99 employees,Viet Nam,12000000.0,Monthly,Vietnamese dong,,,
8,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, mobile;Engineer, data","10,000 or more employees",Viet Nam,20000000.0,Monthly,Vietnamese dong,,,
3,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, embedded applications or devices",100 to 499 employees,Viet Nam,3000000.0,Monthly,Vietnamese dong,C;C++,,
9,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",100 to 499 employees,Viet Nam,20000000.0,Monthly,Vietnamese dong,,,
8,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data scientist or machine learning specialist;System administrator,20 to 99 employees,Viet Nam,16266950.0,Monthly,Vietnamese dong,Assembly;C;C#;C++;HTML/CSS;Java;JavaScript;PHP;SQL,,
7,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, mobile",10 to 19 employees,Viet Nam,15000000.0,Monthly,Vietnamese dong,Go;Java;JavaScript;Kotlin;Swift,26.0,Man
2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end","10,000 or more employees",Viet Nam,14000000.0,Monthly,Vietnamese dong,HTML/CSS;JavaScript,,Man
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, mobile",10 to 19 employees,Viet Nam,20000000.0,Monthly,Vietnamese dong,,,
8,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Data or business analyst;Developer, full-stack;Engineer, data",20 to 99 employees,Viet Nam,30000000.0,Monthly,Vietnamese dong,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;SQL,27.0,Man
12,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Academic researcher;Data scientist or machine learning specialist;Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile;DevOps specialist;Engineer, data;System administrator",20 to 99 employees,Viet Nam,30000000.0,Monthly,Vietnamese dong,Bash/Shell/PowerShell;C#;C++;JavaScript;Python;Swift;TypeScript,27.0,Man
21,"Associate degree (A.A., A.S., etc.)","Developer, back-end",20 to 99 employees,Viet Nam,52000000.0,Monthly,Vietnamese dong,C++;JavaScript,43.0,Man
5,Some college/university study without earning a degree,"Developer, full-stack",20 to 99 employees,Viet Nam,700.0,Monthly,United States dollar,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,25.0,Man
15,Some college/university study without earning a degree,"Designer;Developer, full-stack;Developer, game or graphics;Developer, mobile;Educator;Engineer, site reliability",,Viet Nam,30000000.0,Monthly,Vietnamese dong,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Kotlin;Python;Ruby;SQL;TypeScript,28.0,Man
12,Some college/university study without earning a degree,"Designer;Developer, full-stack;Developer, mobile;Educator",20 to 99 employees,Viet Nam,10000000.0,Monthly,Vietnamese dong,Bash/Shell/PowerShell;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;Python;Ruby;SQL,27.0,Man
6,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Database administrator;Developer, back-end;Developer, front-end;Developer, full-stack;Developer, QA or test;Engineering manager",10 to 19 employees,Viet Nam,3000.0,Monthly,United States dollar,Bash/Shell/PowerShell;C++;Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,22.0,Man
18,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Academic researcher;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Engineer, site reliability","1,000 to 4,999 employees",Viet Nam,70000000.0,Monthly,Vietnamese dong,C#;HTML/CSS;JavaScript;SQL;Swift,35.0,Man
5,"Associate degree (A.A., A.S., etc.)","Data or business analyst;Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;DevOps specialist;System administrator",20 to 99 employees,Viet Nam,18500000.0,Monthly,Vietnamese dong,HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,26.0,Man
14,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, embedded applications or devices;DevOps specialist",10 to 19 employees,Viet Nam,23000000.0,Monthly,Vietnamese dong,Bash/Shell/PowerShell;C#;HTML/CSS,24.0,Man
11,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile;Marketing or sales professional;Product manager",10 to 19 employees,Viet Nam,2500.0,Monthly,United States dollar,C#;HTML/CSS;Java;Kotlin;Python;SQL,29.0,Man
6,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Educator",100 to 499 employees,Viet Nam,150000000.0,Yearly,Vietnamese dong,C;C#;C++,25.0,Man
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;DevOps specialist",100 to 499 employees,Viet Nam,11000000.0,Monthly,Vietnamese dong,C;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript;VBA,30.0,Man
3,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, embedded applications or devices",,Viet Nam,20000.0,Monthly,Vietnamese dong,Assembly;Bash/Shell/PowerShell;C,24.0,Man
6,Some college/university study without earning a degree,"Developer, full-stack",500 to 999 employees,Viet Nam,5300000.0,Monthly,Vietnamese dong,Go;HTML/CSS;Java;JavaScript;SQL,24.0,Man
8,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, front-end;Developer, full-stack",10 to 19 employees,Viet Nam,28000000.0,Monthly,Vietnamese dong,,,
7,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, mobile;System administrator",100 to 499 employees,Viet Nam,700.0,Monthly,United States dollar,,,
Not provided,Some college/university study without earning a degree,"Developer, back-end;Data or business analyst","1,000 to 4,999 employees",Viet Nam,47000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
4,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end",20 to 99 employees,Viet Nam,35000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
7,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile","10,000 or more employees",Viet Nam,70000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
10,Some college/university study without earning a degree,"Developer, full-stack",20 to 99 employees,Viet Nam,10000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Prefer not to say
13,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;DevOps specialist","1,000 to 4,999 employees",Viet Nam,12000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
7,Some college/university study without earning a degree,"Developer, back-end",100 to 499 employees,Viet Nam,41000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
6,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack;Developer, back-end",500 to 999 employees,Viet Nam,15000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
10,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile",100 to 499 employees,Viet Nam,20000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;DevOps specialist","10,000 or more employees",Viet Nam,2300.0,Monthly,EUR European Euro,NOT PROVIDED,35-44 years old,Man
Not provided,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile;Data scientist or machine learning specialist;Designer",10 to 19 employees,Viet Nam,9000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
3,Some college/university study without earning a degree,"Developer, front-end;Student",20 to 99 employees,Viet Nam,5000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
7,"Professional degree (JD, MD, etc.)","Developer, mobile;Developer, back-end",20 to 99 employees,Viet Nam,2500.0,Monthly,USD	United States dollar,NOT PROVIDED,25-34 years old,Man
4,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",20 to 99 employees,Viet Nam,14000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
20,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator;DevOps specialist;Engineer, site reliability;System administrator",20 to 99 employees,Viet Nam,100000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
4,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;Engineer, data;Data scientist or machine learning specialist;Developer, back-end;Data or business analyst",100 to 499 employees,Viet Nam,20000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
15,"Associate degree (A.A., A.S., etc.)","Developer, full-stack;Data or business analyst;System administrator","5,000 to 9,999 employees",Viet Nam,25000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
10,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;Developer, back-end",100 to 499 employees,Viet Nam,1000.0,Monthly,USD	United States dollar,NOT PROVIDED,25-34 years old,Man
14,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end",20 to 99 employees,Viet Nam,0.0,Monthly,USD	United States dollar,NOT PROVIDED,25-34 years old,Man
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile","1,000 to 4,999 employees",Viet Nam,15000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
8,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile",20 to 99 employees,Viet Nam,27000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
8,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data or business analyst,20 to 99 employees,Viet Nam,15000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
12,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, embedded applications or devices","1,000 to 4,999 employees",Viet Nam,630000000.0,Yearly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
Not provided,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end","10,000 or more employees",Viet Nam,20000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
6,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Engineer, data",100 to 499 employees,Viet Nam,23000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
10,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;Data scientist or machine learning specialist;Academic researcher",10 to 19 employees,Viet Nam,800.0,Weekly,USD	United States dollar,NOT PROVIDED,18-24 years old,Man
10,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end","5,000 to 9,999 employees",Viet Nam,27000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
4,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack",20 to 99 employees,Viet Nam,1800.0,Monthly,USD	United States dollar,NOT PROVIDED,25-34 years old,Man
4,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",20 to 99 employees,Viet Nam,14000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
13,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications;Developer, embedded applications or devices",100 to 499 employees,Viet Nam,1010000000.0,Yearly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
10,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack;Developer, back-end",20 to 99 employees,Viet Nam,26000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
4,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, embedded applications or devices",20 to 99 employees,Viet Nam,20000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",10 to 19 employees,Viet Nam,7745000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
6,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data scientist or machine learning specialist,20 to 99 employees,Viet Nam,10000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
4,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack;Developer, back-end",20 to 99 employees,Viet Nam,13000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
3,Some college/university study without earning a degree,"Developer, front-end;Developer, full-stack;Developer, back-end",20 to 99 employees,Viet Nam,17000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Woman
10,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, mobile;Developer, embedded applications or devices;Product manager","1,000 to 4,999 employees",Viet Nam,47000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,35-44 years old,Man
3,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",,Viet Nam,8000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
4,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Student",10 to 19 employees,Viet Nam,20000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
7,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Data or business analyst;System administrator","10,000 or more employees",Viet Nam,18000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
8,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile;Developer, full-stack;Engineer, data;Developer, back-end",20 to 99 employees,Viet Nam,40000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
15,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile;Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Product manager",10 to 19 employees,Viet Nam,54000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
7,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end","1,000 to 4,999 employees",Viet Nam,20.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end",100 to 499 employees,Viet Nam,25000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
2,Some college/university study without earning a degree,"Developer, back-end",20 to 99 employees,Viet Nam,35000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Student;DevOps specialist",20 to 99 employees,Viet Nam,5000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
Less than 1 year,Some college/university study without earning a degree,"Developer, front-end",100 to 499 employees,Viet Nam,7000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
4,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end",500 to 999 employees,Viet Nam,51000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
6,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile",20 to 99 employees,Viet Nam,27000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
8,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications;Developer, full-stack",100 to 499 employees,Viet Nam,410000000.0,Yearly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
13,"Associate degree (A.A., A.S., etc.)","Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end",20 to 99 employees,Viet Nam,25000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,35-44 years old,Man
10,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",20 to 99 employees,Viet Nam,20000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
4,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Academic researcher;Scientist;Student;Developer, QA or test",100 to 499 employees,Viet Nam,32000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
3,"Associate degree (A.A., A.S., etc.)","Developer, full-stack",20 to 99 employees,Viet Nam,10000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile;Developer, front-end;Developer, game or graphics",100 to 499 employees,Viet Nam,20000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
13,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile",100 to 499 employees,Viet Nam,1500.0,Monthly,USD	United States dollar,NOT PROVIDED,25-34 years old,Man
20,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, mobile;Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Database administrator;Data or business analyst;System administrator;Product manager",20 to 99 employees,Viet Nam,45000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,35-44 years old,Man
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, back-end","1,000 to 4,999 employees",Viet Nam,9000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
7,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile",100 to 499 employees,Viet Nam,24000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
8,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",20 to 99 employees,Viet Nam,1400.0,Monthly,USD	United States dollar,NOT PROVIDED,25-34 years old,Man
6,Some college/university study without earning a degree,"Developer, mobile",100 to 499 employees,Viet Nam,570.0,Monthly,USD	United States dollar,NOT PROVIDED,18-24 years old,Man
7,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack;Engineering manager","5,000 to 9,999 employees",Viet Nam,1500000000.0,Yearly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
4,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile;Developer, front-end;Developer, full-stack;Developer, back-end","1,000 to 4,999 employees",Viet Nam,30000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
19,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Engineering manager;Product manager;Senior Executive (C-Suite, VP, etc.)",20 to 99 employees,Viet Nam,90000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,35-44 years old,Man
10,"Associate degree (A.A., A.S., etc.)","Developer, full-stack;Developer, back-end;Database administrator;Developer, QA or test",100 to 499 employees,Viet Nam,5000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
5,Some college/university study without earning a degree,"Developer, full-stack",20 to 99 employees,Viet Nam,10000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
10,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack","5,000 to 9,999 employees",Viet Nam,320000000.0,Yearly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
7,"Associate degree (A.A., A.S., etc.)","Developer, front-end;Developer, back-end",I don’t know,Viet Nam,15000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Woman
4,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",20 to 99 employees,Viet Nam,40000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
6,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Engineer, data;Data scientist or machine learning specialist;Developer, back-end;Data or business analyst",20 to 99 employees,Viet Nam,8000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
3,Some college/university study without earning a degree,"Engineer, data;Data scientist or machine learning specialist",100 to 499 employees,Viet Nam,16500000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
16,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile;Developer, full-stack;Developer, back-end;Database administrator",20 to 99 employees,Viet Nam,50000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",100 to 499 employees,Viet Nam,13000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
6,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","1,000 to 4,999 employees",Viet Nam,13000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
1,Some college/university study without earning a degree,"Developer, front-end",10 to 19 employees,Viet Nam,8000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
6,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",I don’t know,Viet Nam,70000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
10,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications;Engineer, data;Data scientist or machine learning specialist",100 to 499 employees,Viet Nam,15000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
10,Some college/university study without earning a degree,"Developer, front-end;Developer, full-stack;Developer, back-end;DevOps specialist",500 to 999 employees,Viet Nam,100000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
3,Some college/university study without earning a degree,"Developer, front-end;Developer, full-stack;Student","10,000 or more employees",Viet Nam,12500000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
11,"Other doctoral degree (Ph.D., Ed.D., etc.)","Engineer, data;Data scientist or machine learning specialist;Developer, back-end;Academic researcher;Educator",500 to 999 employees,Viet Nam,55000000.0,,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
3,Some college/university study without earning a degree,"Developer, full-stack",20 to 99 employees,Viet Nam,2000.0,Monthly,USD	United States dollar,NOT PROVIDED,18-24 years old,Man
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile",20 to 99 employees,Viet Nam,21000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
5,Some college/university study without earning a degree,"Developer, back-end;Database administrator;Developer, QA or test;System administrator",100 to 499 employees,Viet Nam,16000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
8,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",20 to 99 employees,Viet Nam,30000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
10,Some college/university study without earning a degree,"Developer, full-stack;Developer, back-end","10,000 or more employees",Viet Nam,11000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
4,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Engineer, data;Data scientist or machine learning specialist;Data or business analyst",100 to 499 employees,Viet Nam,10000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
6,Some college/university study without earning a degree,"Developer, front-end",100 to 499 employees,Viet Nam,30000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
4,Some college/university study without earning a degree,"Developer, front-end;Developer, full-stack",500 to 999 employees,Viet Nam,10000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
8,"Associate degree (A.A., A.S., etc.)","Developer, mobile;Developer, front-end;Developer, embedded applications or devices",20 to 99 employees,Viet Nam,20000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Other (please specify):;Academic researcher,500 to 999 employees,Viet Nam,20000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
7,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",100 to 499 employees,Viet Nam,30000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Woman
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Engineer, data;Developer, back-end;Student",100 to 499 employees,Viet Nam,20000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
14,Some college/university study without earning a degree,"Engineer, data","1,000 to 4,999 employees",Viet Nam,17564718.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
Less than 1 year,Primary/elementary school,Academic researcher,I don’t know,Viet Nam,29071991.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, back-end",10 to 19 employees,Viet Nam,5000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
11,Some college/university study without earning a degree,"Developer, full-stack;Developer, back-end",20 to 99 employees,Viet Nam,45000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
15,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack;Engineering manager",100 to 499 employees,Viet Nam,3500.0,Monthly,USD	United States dollar,NOT PROVIDED,25-34 years old,Man
6,"Associate degree (A.A., A.S., etc.)","Developer, front-end",10 to 19 employees,Viet Nam,14000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
7,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",500 to 999 employees,Viet Nam,23000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
3,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, front-end;Student",20 to 99 employees,Viet Nam,5000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
10,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile;Developer, front-end",20 to 99 employees,Viet Nam,30000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile;Developer, back-end;Student",20 to 99 employees,Viet Nam,12000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
8,Some college/university study without earning a degree,"Developer, mobile;Developer, front-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices",20 to 99 employees,Viet Nam,88000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
6,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile;Developer, front-end;Developer, full-stack;Developer, back-end;Designer",20 to 99 employees,Viet Nam,400.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
